Temperature,Velocity,Server_1_Power,Server_2_Power,Server_3_Power,Server_4_Power,Server_5_Power,Server_6_Power,Server_7_Power,Server_8_Power,Server_9_Power,Server_10_Power,Server_11_Power,Server_12_Power,images
290,2.65,0,50,50,50,100,100,50,100,75,75,100,100,dp285
299,1.75,75,0,75,75,100,75,100,100,50,75,0,50,dp286
290,1.75,100,100,0,100,75,50,100,100,0,75,100,0,dp287
295,2.22,100,0,0,75,100,75,0,50,100,50,100,75,dp288
295,1.75,75,75,75,75,50,75,0,0,50,100,0,100,dp289
299,2.22,50,100,100,100,100,50,0,75,100,0,0,50,dp290
295,1.75,0,50,100,100,75,75,75,0,100,50,75,50,dp291
290,2.65,50,75,100,75,50,75,50,50,75,0,75,0,dp292
299,1.75,50,50,0,50,0,0,50,100,0,75,75,50,dp293
290,1.75,100,50,100,0,0,0,0,75,75,50,100,0,dp294
290,2.22,0,100,100,50,100,0,0,0,0,0,50,0,dp295
295,1.75,50,0,75,75,75,75,50,50,100,0,75,50,dp296
295,1.75,0,0,50,75,100,0,100,75,75,100,75,0,dp297
295,2.22,100,75,100,0,75,0,75,50,75,100,75,0,dp298
295,2.65,0,75,100,50,100,50,0,100,50,75,0,75,dp299
295,2.65,0,100,100,0,0,0,100,50,75,75,100,75,dp300
299,2.22,0,50,75,50,0,75,100,50,0,50,75,75,dp301
290,2.22,100,0,0,100,100,0,50,50,100,50,0,75,dp302
290,2.22,75,50,100,100,100,100,100,50,75,75,50,100,dp303
290,2.22,50,75,0,50,100,75,75,75,75,100,0,75,dp304
290,2.22,50,0,75,0,50,75,50,100,75,75,75,75,dp305
295,2.65,100,75,0,75,100,75,0,100,100,0,0,0,dp306
290,2.65,0,0,100,100,75,75,50,75,75,0,0,75,dp307
299,2.22,50,0,75,75,100,50,100,50,0,50,75,75,dp308
299,1.75,50,50,50,100,50,0,100,100,50,0,100,75,dp309
290,2.22,100,50,0,50,75,75,75,50,100,50,0,100,dp310
290,1.75,75,50,75,75,0,100,0,0,0,75,0,0,dp311
299,2.22,100,100,0,100,100,0,75,0,100,75,50,75,dp312
299,2.22,100,75,0,50,50,50,100,100,50,75,50,75,dp313
295,2.65,75,100,75,50,100,0,0,100,50,0,0,75,dp314
299,1.75,75,50,100,50,100,0,75,50,50,100,100,50,dp315
295,1.75,100,50,50,50,0,100,75,75,100,50,75,75,dp316
295,2.65,100,75,50,100,50,75,75,50,0,75,0,75,dp317
295,2.65,0,0,0,50,0,0,0,75,0,75,0,0,dp318
295,2.65,50,75,0,75,75,100,50,50,50,100,100,50,dp319
295,2.65,100,100,100,50,50,50,100,50,100,0,100,75,dp320
290,1.75,50,50,75,100,0,75,75,100,50,100,75,75,dp321
299,1.75,50,50,50,100,50,75,75,0,100,0,75,0,dp322
295,2.22,75,0,50,0,50,50,100,50,50,0,75,100,dp323
299,2.22,50,100,0,50,0,100,0,100,0,100,75,0,dp324
299,2.65,0,75,75,0,75,50,100,100,100,50,75,75,dp325
295,2.65,0,75,0,50,100,100,100,75,0,0,50,75,dp326
290,2.65,50,0,0,100,75,0,100,75,50,75,75,0,dp327
295,2.22,0,75,0,0,0,100,100,75,0,100,75,0,dp328
290,2.22,50,0,0,100,75,75,100,0,50,0,0,50,dp329
299,2.22,100,75,100,100,0,75,75,100,50,100,50,75,dp330
290,2.22,100,0,100,75,0,0,50,0,0,100,75,50,dp331
290,2.22,100,0,0,50,75,50,100,50,0,100,0,75,dp332
290,2.22,0,0,50,0,100,100,75,100,50,75,100,50,dp333
299,2.22,100,100,0,100,100,50,50,0,100,0,100,75,dp334
299,2.65,75,0,0,0,50,50,50,0,100,75,0,50,dp335
290,2.65,50,0,0,50,100,50,50,0,100,50,50,75,dp336
290,2.65,0,75,75,50,0,100,50,100,100,0,75,0,dp337
295,2.65,100,50,100,50,50,0,100,75,100,100,75,0,dp338
290,2.22,100,100,50,100,75,50,0,50,75,75,50,0,dp339
295,1.75,50,0,50,75,100,100,0,0,0,75,50,75,dp340
290,2.22,100,0,50,100,100,100,75,0,100,0,75,100,dp341
295,1.75,75,75,0,100,75,100,0,75,0,100,100,0,dp342
299,2.65,50,75,100,100,75,0,0,0,50,50,100,0,dp343
290,2.22,75,100,75,100,50,100,50,100,0,75,0,100,dp344
290,2.65,100,100,50,75,75,100,100,50,0,0,75,50,dp345
290,2.22,100,75,50,0,50,0,50,75,0,75,75,0,dp346
290,2.65,0,100,100,100,75,75,100,75,75,0,0,75,dp347
295,1.75,100,50,100,50,100,0,75,75,0,50,50,50,dp348
290,1.75,0,50,0,100,100,0,75,100,50,0,50,50,dp349
299,1.75,75,50,75,100,0,50,0,50,0,50,50,50,dp350
299,2.22,50,50,50,50,50,50,0,75,50,75,50,50,dp351
290,1.75,0,100,100,0,75,100,0,0,100,75,0,50,dp352
299,2.22,75,75,100,100,50,0,100,100,75,100,100,100,dp353
290,1.75,100,75,50,50,0,100,75,0,0,50,75,75,dp354
290,1.75,75,50,50,50,50,50,100,100,75,0,75,0,dp355
299,2.22,50,0,75,75,0,100,50,50,75,100,0,50,dp356
290,2.22,100,50,100,100,75,50,0,75,75,0,75,100,dp357
299,1.75,100,50,50,0,50,100,0,0,50,100,0,100,dp358
295,2.22,100,100,50,75,75,0,100,50,100,100,50,75,dp359
290,1.75,100,100,75,50,0,75,0,0,75,100,0,0,dp360
295,2.22,50,100,0,50,100,75,75,50,75,0,100,0,dp361
299,2.65,0,75,0,75,100,100,0,50,75,75,0,75,dp362
295,2.65,75,50,50,0,50,0,100,0,100,0,75,50,dp363
295,2.65,100,0,50,0,50,50,0,100,100,75,50,75,dp364
299,2.65,75,0,0,0,50,0,0,50,50,100,0,0,dp365
295,2.65,0,100,0,100,75,100,75,0,75,100,50,75,dp366
295,1.75,75,0,100,75,75,75,75,50,100,0,0,50,dp367
299,2.65,100,75,50,100,75,50,100,0,0,100,0,100,dp368
295,2.65,75,100,75,50,100,50,0,75,100,50,75,75,dp369
299,2.65,0,0,75,75,100,75,100,75,0,100,50,0,dp370
295,2.65,100,100,50,100,75,50,0,0,75,0,100,100,dp371
299,2.22,75,0,0,75,50,0,50,0,0,0,0,100,dp372
299,1.75,50,50,0,0,50,100,75,75,50,0,0,100,dp373
295,2.65,75,100,75,50,75,100,100,100,50,75,75,100,dp374
295,2.65,75,0,0,0,75,50,50,50,50,0,0,100,dp375
295,2.65,75,75,50,0,50,100,75,75,50,100,75,100,dp376
290,1.75,100,50,0,50,0,100,0,100,75,75,75,50,dp377
290,2.22,50,100,75,50,75,50,0,0,75,100,50,50,dp378
290,1.75,0,0,100,100,100,75,0,75,0,0,50,0,dp379
299,2.22,0,75,0,75,100,0,0,75,100,50,100,75,dp380
295,2.65,100,75,75,50,0,75,75,50,75,0,50,0,dp381
299,2.65,0,50,75,0,0,0,0,50,50,100,100,0,dp382
290,1.75,75,0,75,0,100,100,75,0,75,100,0,0,dp383
295,1.75,75,50,75,100,100,100,100,100,50,0,75,75,dp384
299,2.22,100,75,100,50,50,0,50,50,0,75,100,100,dp385
295,2.22,75,0,75,50,0,0,0,100,75,0,0,0,dp386
299,1.75,75,100,50,100,0,100,100,50,75,75,100,100,dp387
295,2.22,75,75,50,0,100,75,100,100,75,50,100,50,dp388
290,1.75,75,0,0,100,75,50,100,75,75,50,100,75,dp389
290,2.22,75,75,50,100,100,100,100,0,0,100,50,0,dp390
295,1.75,75,0,75,100,0,50,0,0,0,100,50,0,dp391
299,1.75,50,100,75,0,50,50,100,0,75,50,0,75,dp392
